name,ticker_symbol,cik
AARON'S INC,AAN,706688
"AAC HOLDINGS, INC.",AAC,1606180
"3DX INDUSTRIES, INC.",DDDX,1453122
3D SYSTEMS CORP,DDD,910638
"2U, INC.",TWOU,1459417
1ST SOURCE CORP,SRCE,34782
1ST CONSTITUTION BANCORP,FCCY,1141807
"BEBE STORES, INC.",BEBE,1059272
ZARTEX INC.,ZTRX,1684508
XSUNX INC,XSNX,1039466
"WOODWARD, INC.",WWD,108312
"WESTBURY BANCORP, INC.",WBBW,1553326
"WSI INDUSTRIES, INC.",WSCI,104897
WD 40 CO,WDFC,105132
"VERSUM MATERIALS, INC.",VSM,1660690
VAREX IMAGING CORP,VREX,1681622
VISUALANT INC,VSUL,1074828
VISA INC.,VSAT,1403161
"VERIFONE SYSTEMS, INC.",PAY,1312073
VALVOLINE INC,VVV,1674910
UNIFIRST CORP,UNF,717954
"TRACK GROUP, INC.",TRCK,1045942
AMEDISYS INC,AMED,896262
AMEDICA CORP,AMDA,1269026
AMBARELLA INC,AMBA,1280263
AMAZON COM INC,AMZN,1018724
"ALTRIA GROUP, INC.",MO,764180
ALLSTATE CORP,ALL,899051
ALLIANT ENERGY CORP,LNT,352541
ALLETE INC,ALE,66756
ALIMERA SCIENCES INC,ALIM,1267602
ALIGN TECHNOLOGY INC,ALGN,1097149
ALEXANDERS INC,ALX,3499
"ALBIREO PHARMA, INC.",ALBO,1322505
ALBEMARLE CORP,ALB,915913
"ALASKA AIR GROUP, INC.",ALK,766421
ALAMO GROUP INC,ALG,897077
AKORN INC,AKRX,3116
AK STEEL HOLDING CORP,AKS,918160
"AIT THERAPEUTICS, INC.",AITB,1641631
AIRGAIN INC,AIRG,1272842
AIR LEASE CORP,AL,1487712
AGREE REALTY CORP,ADC,917251
AGNC INVESTMENT CORP.,AGNC,1423689
AFLAC INC,AFL,4977
"AEROHIVE NETWORKS, INC",HIVE,1372414
AEROCENTURY CORP,ACY,1036848
"AEMETIS, INC",AMTX,738214
ADVANCED MICRO DEVICES INC,AMD,2488
"ADURO BIOTECH, INC.",ADRO,1435049
"ADOMANI, INC.",ADOM,1563568
ADOBE SYSTEMS INC,ADBE,796343
"ADMA BIOLOGICS, INC.",ADMA,1368514
ARQULE INC,ARQL,1019695
AROTECH CORP,ARTX,916529
ARMSTRONG WORLD INDUSTRIES INC,AWI,7431
ARES CAPITAL CORP,ARCC,1287750
"ARDELYX, INC.",ARDX,1437402
ARCH COAL INC,ARCH,1037676
"ARC GROUP, INC.",ARCK,1452872
ARADIGM CORP,ARDM,1013238
AQUANTIA CORP,AQ,1316016
AQUA AMERICA INC,WTR,78128
APTARGROUP INC,ATR,896622
APPFOLIO INC,APPF,1433195
APACHE CORP,APA,6769
"ANTARES PHARMA, INC.",ATRS,1016169
ANSYS INC,ANSS,1013462
ANDEAVOR LOGISTICS LP,ANDX,1507615
ANDEAVOR,ANDV,50104
ANAPTYSBIO INC,ANAB,1370053
AMPCO PITTSBURGH CORP,AP,6176
"AMKOR TECHNOLOGY, INC.",AMKR,1047127
AMES NATIONAL CORP,ATLO,1132651
AMERISAFE INC,AMSF,1018979
AMERICOLD REALTY TRUST,COLD,1455863
AMERICAN EXPRESS CO,AXP,4962
AMERICAN CRYOSTEM CORP,CRYO,1468679
ALCOA CORP,AA,1675149
AERKOMM INC.,AKOM,1590496
AEGION CORP,AEGN,353020
"ADVANCED DISPOSAL SERVICES, INC.",ADSW,1585790
ADVANSIX INC.,ASIX,1673985
ADDUS HOMECARE CORP,ADUS,1468328
ACUSHNET HOLDINGS CORP.,GOLF,1672013
ACHAOGEN INC,AKAO,1301501
ACER THERAPEUTICS INC.,ACER,1069308
ACCELERIZE INC.,ACLZ,1352952
ABBVIE INC.,ABBV,1551152
AXT INC,AXTI,1051627
"AXON ENTERPRISE, INC.",AAXN,1069183
AVON PRODUCTS INC,AVP,8868
AVISTA CORP,AVA,104918
"AVENUE THERAPEUTICS, INC.",ATXI,1644963
"AV HOMES, INC.",AVHI,39677
"AUTONATION, INC.",AN,350698
AUTOLIV INC,ALV,1034670
AUTODESK INC,ADSK,769397
ATRION CORP,ATRI,701288
ATLANTIC POWER CORP,AT,1419242
ATHENAHEALTH INC,ATHN,1131096
"ASV HOLDINGS, INC.",ASV,1690881
ASURE SOFTWARE INC,ASUR,884144
ASTRONICS CORP,ATRO,8063
ASSURANT INC,AIZ,1267238
ANTERO MIDSTREAM GP LP,AMGP,1623925
"ANGIOSOMA, INC.",SOAN,1502152
"ANDERSONS, INC.",ANDE,821026
AMPLIFY ENERGY CORP,AMPY,1521847
AMERIS BANCORP,ABCB,351569
AMERICAN OIL & GAS INC.,AOIX,1544400
"AMBER ROAD, INC.",AMBR,1314223
ALLY FINANCIAL INC.,ALLY,40729
BARNES GROUP INC,B,9984
BANK OF HAWAII CORP,BOH,46195
"BANC OF CALIFORNIA, INC.",BANC,1169770
BALL CORP,BLL,9389
BALCHEM CORP,BCPC,9326
BADGER METER INC,BMI,9092
"AXOGEN, INC.",AXGN,805928
AVINGER INC,AVGR,1506928
AVERY DENNISON CORP,AVY,8818
"AVANGRID, INC.",AGR,1634997
"AUTOWEB, INC.",AUTO,1023364
"ATRICURE, INC.",ATRC,1323885
ATOMERA INC,ATOM,1420520
"ATHENEX, INC.",ATNX,1300699
AT HOME GROUP INC.,HOME,1646228
ASHFORD INC.,AINC,1604738
"ARSANIS, INC.",ASNS,1501697
"ARMSTRONG FLOORING, INC.",AFI,1655075
"ARISTA NETWORKS, INC.",ANET,1596532
ARCONIC INC.,ARNC,4281
ARCIMOTO INC,FUV,1558583
"ARCHROCK, INC.",AROC,1389050
"AQUABOUNTY TECHNOLOGIES, INC.",AQB,1603978
"AQUA METALS, INC.",AQMS,1621832
APTEVO THERAPEUTICS INC.,APVO,1671584
"APOLLO ENDOSURGERY, INC.",APEN,1251769
"BUCKEYE PARTNERS, L.P.",BPL,805022
BRYN MAWR BANK CORP,BMTC,802681
BRUNSWICK CORP,BC,14930
BRUKER CORP,BRKR,1109354
"BROWN & BROWN, INC.",BRO,79282
"BROADWIND ENERGY, INC.",BWEN,1120370
BRIGHTCOVE INC,BCOV,1313275
BRIDGFORD FOODS CORP,BRID,14177
BP MIDSTREAM PARTNERS LP,BPMP,1708301
BOYD GAMING CORP,BYD,906553
BOVIE MEDICAL CORP,BVX,719135
BOSTON OMAHA CORP,BOMN,1494582
BORGWARNER INC,BWA,908255
BOINGO WIRELESS INC,WIFI,1169988
BOEING CO,BA,12927
"BLACKSTAR ENTERPRISE GROUP, INC.",BEGI,1483646
"BLACKLINE, INC.",BL,1666134
BLACKBAUD INC,BLKB,1280058
BIOTIME INC,BTX,876343
"BIOTELEMETRY, INC.",BEAT,1574774
"BIOLASE, INC",BIOL,811240
BIOCEPT INC,BIOC,1044378
BIG 5 SPORTING GOODS CORP,BGFV,1156388
"BG STAFFING, INC.",BGSF,1474903
BENCHMARK ELECTRONICS INC,BHE,863436
BEMIS CO INC,BMS,11199
BELDEN INC.,BDC,913142
CADIZ INC,CDZI,727273
CABOT OIL & GAS CORP,COG,858470
"BUSINESS FIRST BANCSHARES, INC.",BFST,1624322
"BURLINGTON STORES, INC.",BURL,1579298
"BONANZA CREEK ENERGY, INC.",BCEI,1509589
"BOJANGLES', INC.",BOJA,1630132
"BNET MEDIA GROUP, INC.",BNTT,1501268
BLUELINX HOLDINGS INC.,BXC,1301787
"BLOOMIN' BRANDS, INC.",BLMN,1546417
BLACKROCK INC.,BLK,1364742
"BLACK KNIGHT, INC.",BKI,1627014
BIOSOLAR INC,BSRC,1371128
"BIOSCRIP, INC.",BIOS,1014739
BIOAMBER INC.,BIOAQ,1534287
"BENEFITFOCUS,INC.",BNFT,1576169
"BANKUNITED, INC.",BKU,1504008
BANKFINANCIAL CORP,BFIN,1303942
"BANCORP 34, INC.",BCTF,1668340
CENTRUS ENERGY CORP,LEU,1065059
CENTRAL FEDERAL CORP,CFBK,1070680
CENTENE CORP,CNC,1071739
"CBTX, INC.",CBTX,1473844
"CBIZ, INC.",CBZ,944148
"CAVIUM, INC.",CAVM,1175609
CATERPILLAR INC,CAT,18230
"CATASYS, INC.",CATS,1136174
CARRIZO OIL & GAS INC,CRZO,1040593
CAREER EDUCATION CORP,CECO,1046568
"CARDAX, INC.",CDXI,1544238
CARBO CERAMICS INC,CRR,1009672
"CAPRICOR THERAPEUTICS, INC.",CAPR,1133869
CANCER CAPITAL CORP,CNCL,1130889
CAMDEN NATIONAL CORP,CAC,750686
"CALIX, INC",CALX,1406666
CLEVELAND-CLIFFS INC.,CLF,764065
"CLEANSPARK, INC.",CLSK,827876
CLEAN HARBORS INC,CLH,822818
"CKX LANDS, INC.",CKX,352955
CITY HOLDING CO,CHCO,726854
CITIZENS FIRST CORP,CZFC,1073475
CITIZENS & NORTHERN CORP,CZNC,810958
CITIGROUP INC,C,831001
CIT GROUP INC,CIT,1171825
CIPHERLOC CORP,CLOK,1022505
CINCINNATI BELL INC,CBB,716133
CIGNA CORP,CI,701221
CHURCHILL DOWNS INC,CHDN,20212
CHRISTOPHER & BANKS CORP,CBK,883943
CHINAWE COM INC,CHWE,1043222
CHIMERIX INC,CMRX,1117480
CHICOS FAS INC,CHS,897429
"CHIASMA, INC",CHMA,1339469
"CHF SOLUTIONS, INC.",CHFS,1506492
CHEVRON CORP,CVX,93410
CHESAPEAKE ENERGY CORP,CHK,895126
CHENIERE ENERGY INC,LNG,3570
CHEMED CORP,CHE,19584
"CHEGG, INC",CHGG,1364954
CHASE PACKAGING CORP,CPKA,1025771
CHART INDUSTRIES INC,GTLS,892553
CHARLES & COLVARD LTD,CTHR,1015155
CHANNELADVISOR CORP,ECOM,1169652
CERUS CORP,CERS,1020214
COLUMBIA SPORTSWEAR CO,COLM,1050797
COHEN & STEERS INC,CNS,1284812
COGNEX CORP,CGNX,851205
CODEXIS INC,CDXS,1200375
COCA COLA CO,KO,21344
CNX RESOURCES CORP,CNX,1070412
CNX MIDSTREAM PARTNERS LP,CNXM,1610418
CNA FINANCIAL CORP,CNA,21175
CMS ENERGY CORP,CMS,811156
CME GROUP INC.,CAMG,1156375
CRYOLIFE INC,CRY,784199
CROWN HOLDINGS INC,CCK,1219601
CROWN CASTLE INTERNATIONAL CORP,CCI,1051470
CROSS TIMBERS ROYALTY TRUST,CRT,881787
CREDITRISKMONITOR COM INC,CRMZ,315958
CREDEX CORP,CRDX,1432939
COVANTA HOLDING CORP,CVA,225648
COSTAR GROUP INC,CSGP,1057352
"CORELOGIC, INC.",CLGX,36047
COOPER TIRE & RUBBER CO,CTB,24491
CONVERGYS CORP,CVG,1062047
CONTROL4 CORP,CTRL,1259515
CONTRAFECT CORP,CFRX,1478069
CONTANGO OIL & GAS CO,MCF,1071993
CONSOL ENERGY INC.,CEIX,1710366
CONOCOPHILLIPS,COP,1163165
CONMED CORP,CNMD,816956
CONDUENT INC,CNDT,1677703
"COMSCORE, INC.",SCOR,1158172
"CAREDX, INC.",CDNA,1217234
CARE.COM INC,CRCM,1412270
"CARDLYTICS, INC.",CDLX,1666071
CARBONITE INC,CARB,1340127
CAPITOL INVESTMENT CORP. IV,CIC.U,1709682
"CALYXT, INC.",CLXT,1705843
CYTRX CORP,CYTR,799698
CYTOKINETICS INC,CYTK,1061983
"CYNERGISTEK, INC",CTEK,1011432
CYBEROPTICS CORP,CYBE,768411
CVS HEALTH CORP,CVS,64803
CVR ENERGY INC,CVI,1376139
"CV SCIENCES, INC.",CVSI,1510964
CUTERA INC,CUTR,1162461
CURTISS WRIGHT CORP,CW,26324
CURIS INC,CRIS,1108205
"CUR MEDIA, INC.",CURM,1556226
CUMULUS MEDIA INC,CMLSQ,1058623
CUMMINS INC,CMI,26172
CTI BIOPHARMA CORP,CTIC,891293
"COEUR MINING, INC.",CDE,215466
"COCRYSTAL PHARMA, INC.",COCP,1412486
"COASTWAY BANCORP, INC.",CWAY,1585023
"CO-DIAGNOSTICS, INC.",CODX,1692415
"CLOVIS ONCOLOGY, INC.",CLVS,1466301
CLEARWATER PAPER CORP,CLW,1441236
"CLEARTRONIC, INC.",CLRI,1362516
CLARUS CORP,CLAR,913277
"CITY OFFICE REIT, INC.",CIO,1593222
CHINA XD PLASTICS CO LTD,CXDC,1353970
"CHILDRENS PLACE, INC.",PLCE,1041859
CHESS SUPERSITE CORP,CHZP,1586554
"CHEFS' WAREHOUSE, INC.",CHEF,1517175
"CHAPARRAL ENERGY, INC.",CHPE,1346980
CENTERSTATE BANK CORP,CSFL,1102266
CELSION CORP,CLSN,749647
CELCUITY INC.,CELC,1603454
CASA SYSTEMS INC,CASA,1333835
"CARTESIAN, INC.",CRTN,1094814
DAVITA INC.,DVA,927066
DANA INC,DAN,26780
CYTOSORBENTS CORP,CTSO,1175151
CYRUSONE INC.,CONE,1553023
"CYPRESS ENERGY PARTNERS, L.P.",CELP,1587246
"CYBERFORT SOFTWARE, INC.",CYBFD,1522787
"CUSTOMERS BANCORP, INC.",CUBI,1488813
CUBESMART,CUBE,1298675
"CRYOPORT, INC.",CYRX,1124524
"CROCS, INC.",CROX,1334036
"CREXENDO, INC.",CXDO,1075736
COUPA SOFTWARE INC,COUP,1385867
"COUNTY BANCORP, INC.",ICBK,1470205
"CORINDUS VASCULAR ROBOTICS, INC.",CVRS,1528557
CORESITE REALTY CORP,COR,1490892
"CORECIVIC, INC.",CXW,1070985
CORMEDIX INC.,CRMD,1410098
CONFORMIS INC,CFMS,1305773
COMSTOCK MINING INC.,LODE,1120970
"COMMAND CENTER, INC.",CCNI,1140102
COLFAX CORP,CFX,1420800
DIGIMARC CORP,DMRC,1438231
"DERMIRA, INC.",DERM,1557883
DENALI THERAPEUTICS INC.,DNLI,1714899
"DEEP DOWN, INC.",DPDW,1110607
"DASEKE, INC.",DSKE,1642453
"DARE BIOSCIENCE, INC.",DARE,1401914
DYNEX CAPITAL INC,DX,826675
DURECT CORP,DRRX,1082038
"DUNKIN' BRANDS GROUP, INC.",DNKN,1357204
DUKE REALTY CORP,DRE,783280
DRIL-QUIP INC,DRQ,1042893
DOVER MOTORSPORTS INC,DVD,1017673
DOVER CORP,DOV,29905
"DORCHESTER MINERALS, L.P.",DMLP,1172358
DOMINOS PIZZA INC,DPZ,1286681
DOLLAR TREE INC,DLTR,935703
DOLLAR GENERAL CORP,DG,29534
DMC GLOBAL INC.,BOOM,34067
DIXIE GROUP INC,DXYN,29332
"DILLARD'S, INC.",DDS,28917
DIGIRAD CORP,DRAD,707388
"DHI GROUP, INC.",DHX,1393883
DEXCOM INC,DXCM,1093557
"DESTINATION XL GROUP, INC.",DXLG,813298
DEPOMED INC,DEPO,1005201
DENTSPLY SIRONA INC.,XRAY,818479
DENNYS CORP,DENN,852772
"ENVESTNET, INC.",ENV,1337619
ENTRAVISION COMMUNICATIONS CORP,EVC,1109116
ENTERPRISE PRODUCTS PARTNERS L P,EPD,1061219
ENTEGRIS INC,ENTG,1101302
"ENSIGN GROUP, INC",ENSG,1125376
ENGLOBAL CORP,ENG,933738
ENERGY FUELS INC,UUUU,1385849
ENERGEN CORP,EGN,277595
ENDOCYTE INC,ECYT,1235007
ENCORE WIRE CORP,WIRE,850460
ENCANA CORP,ECA,1157806
ENBRIDGE INC,ENB,895728
"EMERGENT CAPITAL, INC.",EMGC,1494448
EMCOR GROUP INC,EME,105634
EMAGIN CORP,EMAN,1046995
ELLIE MAE INC,ELLI,1122388
ELECTRO SENSORS INC,ELSE,351789
ECOLAB INC.,ECL,31462
ECHELON CORP,ELON,31347
EASTGATE BIOTECH CORP,ETBI,1099574
EAGLE BANCORP INC,EGBN,1050441
DUKE ENERGY CORP,DUK,1326160
DRIVE SHACK INC.,DS,1175483
DOWDUPONT INC.,DWDP,1666700
"DORMAN PRODUCTS, INC.",DORM,868780
DOMTAR CORP,UFS,1381531
ESCALADE INC,ESCA,33488
ERA GROUP INC.,ERA,1525221
EQUINIX INC,EQIX,1101239
"EQT GP HOLDINGS, LP",EQGP,1632933
EPR PROPERTIES,EPR,1045450
"EPAM SYSTEMS, INC.",EPAM,1352010
"ENERGY TRANSFER PARTNERS, L.P.",ETP,1161154
"ENERGY TRANSFER EQUITY, L.P.",ETE,1276187
"ENERGY RECOVERY, INC.",ERII,1421517
ENERGOUS CORP,WATT,1575793
ENCOMPASS HEALTH CORP,EHC,785161
"ENABLE MIDSTREAM PARTNERS, LP",ENBL,1591763
"EMPLOYERS HOLDINGS, INC.",EIG,1379041
EMERGE ENERGY SERVICES LP,EMES,1555177
"ELEVATE CREDIT, INC.",ELVT,1651094
"ELDORADO RESORTS, INC.",ERI,1590895
EGALET CORP,EGLT,1586105
"EDITAS MEDICINE, INC.",EDIT,1650664
ECHOSTAR CORP,SATS,1415404
EXXON MOBIL CORP,XOM,34088
EXPONENT INC,EXPO,851520
"EXICURE, INC.",EXCR,1698530
EXELON CORP,EXC,1109357
"EXELIXIS, INC.",EXEL,939767
EXCO RESOURCES INC,XCOOQ,316300
EXACT SCIENCES CORP,EXAS,1124140
"EVERTEC, INC.",EVTC,1559865
EVERSOURCE ENERGY,ES,72741
"EVERBRIDGE, INC.",EVBG,1437352
EVANS BANCORP INC,EVBN,842518
EVANS & SUTHERLAND COMPUTER CORP,ESCC,276283
EURONET WORLDWIDE INC,EEFT,1029199
ESSENDANT INC,ESND,355999
"FIRST HAWAIIAN, INC.",FHB,36377
FIRST CAPITAL INC,FCAP,1070296
"FINJAN HOLDINGS, INC.",FNJN,1366340
FIFTH THIRD BANCORP,FITB,35527
FIBROGEN INC,FGEN,921299
FBL FINANCIAL GROUP INC,FFG,1012771
FARMERS & MERCHANTS BANCORP INC,FMAO,792966
FARMERS & MERCHANTS BANCORP,FMCB,1085913
EXTERRAN CORP,EXTN,1635881
EXPRESS SCRIPTS HOLDING CO.,ESRX,1532063
"EXLSERVICE HOLDINGS, INC.",EXLS,1297989
"EXELA TECHNOLOGIES, INC.",XELA,1620179
"EXCEED WORLD, INC.",EXDW,1634293
"EVOLUS, INC.",EOLS,1570562
EVERI HOLDINGS INC.,EVRI,1318568
"EPIZYME, INC.",EPZM,1571498
"ENVIVA PARTNERS, LP",EVA,1592057
ENVISION HEALTHCARE CORP,EVHC,1678531
ENSERVCO CORP,ENSV,319458
FULTON FINANCIAL CORP,FULT,700564
FUELCELL ENERGY INC,FCEL,886128
"FUEL TECH, INC.",FTEK,846913
FTI CONSULTING INC,FCN,887936
"FS BANCORP, INC.",FSBW,1530249
"FRP HOLDINGS, INC.",FRPH,844059
FREEPORT-MCMORAN INC,FCX,831259
FRANKLIN ELECTRIC CO INC,FELE,38725
FORWARD AIR CORP,FWRD,912728
FORTINET INC,FTNT,1262039
FORMFACTOR INC,FORM,1039399
"FNCB BANCORP, INC.",FNCB,1035976
FLUOR CORP,FLR,1124198
FLUIDIGM CORP,FLDM,1162194
FLOWSERVE CORP,FLS,30625
FLOWERS FOODS INC,FLO,1128928
FLIR SYSTEMS INC,FLIR,354908
FLAGSTAR BANCORP INC,FBC,1033012
"FIVE BELOW, INC",FIVE,1177609
FITBIT INC,FIT,1447599
FISERV INC,FISV,798354
FIRSTENERGY CORP,FE,1031296
"FIRSTCASH, INC",FCFS,840489
"FIRST SOLAR, INC.",FSLR,1274494
EQUIFAX INC,EFX,33185
GENERAL CANNABIS CORP,CANN,1477009
GARTNER INC,IT,749251
"GARDNER DENVER HOLDINGS, INC.",GDI,1699150
GAP INC,GPS,39911
"G1 THERAPEUTICS, INC.",GTHX,1560241
FUNDTHATCOMPANY,FNTT,1658304
"FULGENT GENETICS, INC.",FLGT,1674930
"FRESHPET, INC.",FRPT,1611647
"FOSSIL GROUP, INC.",FOSL,883569
"FORTRESS BIOTECH, INC.",FBIO,1429260
FORTIVE CORP,FTV,1659166
"FORTERRA, INC.",FRTA,1678463
FORESTAR GROUP INC.,FOR,1406587
"FLEXSHOPPER, INC.",FPAY,1397047
"FLEX PHARMA, INC.",FLKS,1615219
"FIVE9, INC.",FIVN,1288847
FIRST INTERNET BANCORP,INBK,1562463
FIRST FOUNDATION INC.,FFWM,1413837
"FIREEYE, INC.",FEYE,1370880
EOG RESOURCES INC,EOG,821189
GREENHILL & CO INC,GHL,1282977
GREAT PLAINS ENERGY INC,GXP,1143068
GRCR PARTNERS INC,GRCR,1661600
GRAY TELEVISION INC,GTN,43196
GRANITE CONSTRUCTION INC,GVA,861459
GRACO INC,GGG,42888
GOODRICH PETROLEUM CORP,GDP,943861
GOLDMAN SACHS GROUP INC,GS,886982
GOLDFIELD CORP,GV,42316
GOLD RESOURCE CORP,GORO,1160791
GLYCOMIMETICS INC,GLYC,1253689
GLU MOBILE INC,GLUU,1366246
GLOBUS MEDICAL INC,GMED,1237831
GLOBAL PAYMENTS INC,GPN,1123360
GLOBAL PARTNERS LP,GLP,1323468
"GLOBAL BRASS & COPPER HOLDINGS, INC.",BRSS,1533526
GLAUKOS CORP,GKOS,1192448
GLADSTONE LAND CORP,LAND,1495240
GILEAD SCIENCES INC,GILD,882095
"GI DYNAMICS, INC.",GIDYL,1245791
GEO GROUP INC,GEO,923796
GENUINE PARTS CO,GPC,40987
GENTHERM INC,THRM,903129
GENTEX CORP,GNTX,355811
"ENPRO INDUSTRIES, INC",NPO,1164863
"GROUPON, INC.",GRPN,1490281
"GREEN BANCORP, INC.",GNBC,1606363
"GRANITE FALLS ENERGY, LLC",GFGY,1181749
"GOLDMAN SACHS BDC, INC.",GSBD,1572694
